timestamp,ip_origem,tipo_ataque,payload,criticidade
2026-06-06 13:56:05,198.51.100.45,Command Injection,; rm -rf /,Critica
2026-06-06 13:56:09,198.51.100.45,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:56:13,198.51.100.45,Command Injection,; rm -rf /,Critica
2026-06-06 13:56:17,198.51.100.45,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:56:21,185.220.101.5,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:56:23,45.132.22.41,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:56:27,91.240.118.12,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:56:29,198.51.100.45,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:56:32,185.220.101.5,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:56:34,172.56.21.9,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:56:38,172.56.21.9,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:56:43,91.240.118.12,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:56:47,91.240.118.12,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:56:51,45.132.22.41,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:56:53,185.220.101.5,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:56:55,45.132.22.41,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:56:58,91.240.118.12,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:57:02,172.56.21.9,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:57:06,198.51.100.45,Command Injection,; rm -rf /,Critica
2026-06-06 13:57:11,172.56.21.9,Command Injection,; rm -rf /,Critica
2026-06-06 13:57:16,91.240.118.12,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:57:18,172.56.21.9,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:57:23,172.56.21.9,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:57:27,91.240.118.12,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:57:31,172.56.21.9,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:57:33,91.240.118.12,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:57:35,185.220.101.5,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:57:40,91.240.118.12,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:57:44,172.56.21.9,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:57:47,198.51.100.45,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:57:49,198.51.100.45,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:57:54,198.51.100.45,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:57:59,172.56.21.9,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:58:04,172.56.21.9,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:58:09,45.132.22.41,Command Injection,; rm -rf /,Critica
2026-06-06 13:58:13,91.240.118.12,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:58:16,45.132.22.41,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:58:18,91.240.118.12,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:58:20,185.220.101.5,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:58:23,172.56.21.9,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:58:27,91.240.118.12,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:58:31,172.56.21.9,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:58:36,198.51.100.45,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:58:40,91.240.118.12,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:58:42,198.51.100.45,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:58:47,91.240.118.12,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:58:52,91.240.118.12,Command Injection,; rm -rf /,Critica
2026-06-06 13:58:55,45.132.22.41,Path Traversal,../../../../etc/passwd,Critica
